Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Sector,Daily Return,Cumulative Return,MA50,MA200,Change %,Country
11/8/2023,182.3500061,183.4499969,181.5899963,182.8899994,181.1160126,49340300,AAPL,Technology,0.005884997,1.49682528,174.8951163,170.1968834,,
11/9/2023,182.9600067,184.1199951,181.8099976,182.4100037,180.6406403,53763500,AAPL,Technology,-0.002624684,1.490271903,174.7913333,170.4006509,,
11/10/2023,183.9700012,186.5700073,183.5299988,186.3999939,184.8351288,66133400,AAPL,Technology,0.023220071,1.548096194,174.7670825,170.6150368,,
11/13/2023,185.8200073,186.0299988,184.2100067,184.8000031,183.2485504,43627500,AAPL,Technology,-0.008583749,1.526223975,174.6796085,170.8117769,,
11/14/2023,187.6999969,188.1100006,186.3000031,187.4400024,185.866394,60108400,AAPL,Technology,0.014285754,1.562312988,174.6397382,171.0360524,,
11/15/2023,187.8500061,189.5,187.7799988,188.0099945,186.4315948,53790500,AAPL,Technology,0.003040898,1.570104722,174.7456543,171.2567936,,
11/16/2023,189.5700073,190.9600067,188.6499939,189.7100067,188.1173401,54412900,AAPL,Technology,0.009042165,1.593344033,174.9912473,171.4803428,,
11/17/2023,190.25,190.3800049,188.5700073,189.6900024,188.0975037,50922700,AAPL,Technology,-0.000105447,1.593070572,175.2241641,171.6772176,,
11/20/2023,189.8899994,191.9100037,189.8800049,191.4499969,189.8427277,46505100,AAPL,Technology,0.009278294,1.617129844,175.4686145,171.8646745,,
11/21/2023,191.4100037,191.5200043,189.7400055,190.6399994,189.0395203,38134500,AAPL,Technology,-0.004230909,1.606057005,175.7576068,172.0617727,,
11/22/2023,191.4900055,192.9299927,190.8300018,191.3099976,189.7038879,39617700,AAPL,Technology,0.003514438,1.61521583,176.1012808,172.2477958,,
11/24/2023,190.8699951,190.8999939,189.25,189.9700012,188.3751373,24048300,AAPL,Technology,-0.00700434,1.596897968,176.3880768,172.4406352,,
11/27/2023,189.9199982,190.6699982,188.8999939,189.7899933,188.1966553,40552600,AAPL,Technology,-0.000947482,1.594437454,176.685762,172.6377593,,
11/28/2023,189.7799988,191.0800018,189.3999939,190.3999939,188.8015289,38415400,AAPL,Technology,0.003214051,1.602776109,176.9369183,172.8360806,,
11/29/2023,190.8999939,192.0899963,188.9700012,189.3699951,187.7801819,43014200,AAPL,Technology,-0.005409633,1.588696044,177.1458609,173.0152712,,
11/30/2023,189.8399963,190.3200073,188.1900024,189.9499969,188.3553162,48794400,AAPL,Technology,0.003062806,1.596624718,177.4372116,173.2005473,,
12/1/2023,190.3300018,191.5599976,189.2299957,191.2400055,189.634491,45704800,AAPL,Technology,0.006791286,1.614259139,177.7850436,173.3817012,,
12/4/2023,189.9799957,190.0500031,187.4499969,189.4299927,187.8396759,43389500,AAPL,Technology,-0.009464602,1.589516216,178.079946,173.5618806,,
12/5/2023,190.2100067,194.3999939,190.1799927,193.4199982,191.7961884,66628400,AAPL,Technology,0.021063241,1.644059821,178.428429,173.7675707,,
12/6/2023,194.4499969,194.7599945,192.1100006,192.3200073,190.7054291,41089700,AAPL,Technology,-0.005687075,1.629022855,178.8366971,173.9879048,,
12/7/2023,193.6300049,195,193.5899963,194.2700043,192.6390381,47477700,AAPL,Technology,0.010139245,1.655679161,179.313941,174.2157835,,
12/8/2023,194.1999969,195.9900055,193.6699982,195.7100067,194.0669403,53406400,AAPL,Technology,0.00741232,1.675363905,179.8145938,174.4483822,,
12/11/2023,193.1100006,193.4900055,191.4199982,193.1799927,191.558197,60943700,AAPL,Technology,-0.012927206,1.640778925,180.254772,174.6817204,,
12/12/2023,193.0800018,194.7200012,191.7200012,194.7100067,193.0753784,52696900,AAPL,Technology,0.007920211,1.661694452,180.6749869,174.9166694,,
12/13/2023,195.0899963,198,194.8500061,197.9600067,196.2980804,70404200,AAPL,Technology,0.016691419,1.706121909,181.186394,175.1702502,,
12/14/2023,198.0200043,199.6199951,196.1600037,198.1100006,196.4468384,66831600,AAPL,Technology,0.000757817,1.708172653,181.6758209,175.4349447,,
12/15/2023,197.5299988,198.3999939,197,197.5700073,195.9113464,128538400,AAPL,Technology,-0.002725887,1.70079048,182.12978,175.6939989,,
12/18/2023,196.0899963,196.6300049,194.3899994,195.8899994,194.2454529,55751900,AAPL,Technology,-0.008503303,1.67782484,182.4993216,175.9194412,,
12/19/2023,196.1600037,196.9499969,195.8899994,196.9400024,195.2866211,40714100,AAPL,Technology,0.005360065,1.692178155,182.8599771,176.136263,,
12/20/2023,196.8999939,197.6799927,194.8300018,194.8300018,193.1943512,52242800,AAPL,Technology,-0.010713841,1.663334585,183.1906714,176.353635,,
12/21/2023,196.1000061,197.0800018,193.5,194.6799927,193.045578,46482500,AAPL,Technology,-0.00077007,1.66128363,183.4904639,176.5639919,,
12/22/2023,195.1799927,195.4100037,192.9700012,193.6000061,191.9746704,37149600,AAPL,Technology,-0.005547434,1.646520335,183.7508142,176.7802529,,
12/26/2023,193.6100006,193.8899994,192.8300018,193.0500031,191.429306,28919300,AAPL,Technology,-0.002840814,1.639002062,184.0370966,177.0041074,,
12/27/2023,192.4900055,193.5,191.0899963,193.1499939,191.5284424,48087700,AAPL,Technology,0.000517874,1.640368734,184.327937,177.2187299,,
12/28/2023,194.1399994,194.6600037,193.1699982,193.5800018,191.9548645,34049900,AAPL,Technology,0.002226417,1.646247295,184.6584015,177.4250159,,
12/29/2023,193.8999939,194.3999939,191.7299957,192.5299988,190.9136658,42672100,AAPL,Technology,-0.005424185,1.63189356,184.9939877,177.6241207,,
